id,权限名称,图标,权限类型,是否可用,排序
"1","   系统管理","  ","  目录  ","  ","1"
"3","   用户管理","  ","  菜单  ","  ","1"
"22","  用户增加","  ","  按钮  ","  ","1"
"23","  用户编辑","  ","  按钮  ","  ","2"
"24","  用户删除","  ","  按钮  ","  ","3"
"4","   权限管理","  ","  菜单  ","  ","3"
"21","  权限增加","  ","  按钮  ","  ","1"
"25","  权限编辑","  ","  按钮  ","  ","2"
"26","  用户删除","  ","  按钮  ","  ","3"
"9","   角色管理","  ","  菜单  ","  ","2"
"27","  用户增加","  ","  按钮  ","  ","1"
"28","  角色编辑","  ","  按钮  ","  ","2"
"29","  角色删除","  ","  按钮  ","  ","3"
"30","  角色授权","  ","  按钮  ","  ","4"
"12","  系统监控","  ","  菜单  ","  ","6"
"13","  日志管理","  ","  菜单  ","  ","5"
"44","   数据字典","  ","  菜单  ","  ","7"
"45","  字典增加","  ","  按钮  ","  ","1"
"46","  字典修改","  ","  按钮  ","  ","2"
"47","  字典删除","  ","  按钮  ","  ","3"
"48","   部门管理","  ","  菜单  ","  ","4"
"49","  部门增加","  ","  按钮  ","  ","1"
"50","  部门编辑","  ","  按钮  ","  ","2"
"51","  部门删除","  ","  按钮  ","  ","3"
"57","   邮件管理","  ","  菜单  ","  ","8"
"58","  邮件发送","  ","  按钮  ","  ","1"
"59","  邮件删除","  ","  按钮  ","  ","2"
"17","   文件管理","  ","  目录  ","  ","2"
"18","   图片上传","  ","  菜单  ","  ","1"
"31","  图片增加","  ","  按钮  ","  ","1"
"32","  图片删除","  ","  按钮  ","  ","2"
"62","   图片管理","  ","  菜单  ","  ","2"
"63","  加","  ","  按钮  ","  ","1"
"64","  删","  ","  按钮  ","  ","2"
